"5777","N02AJ18","OXYCODONE AND ACETYLSALICYLIC ACID",""
"5778","N02AJ17","OXYCODONE AND PARACETAMOL",""
"5778","N02AJ17","OXYCODONE AND PARACETAMOL",""
"5779","N02BA71","ACETYLSALICYLIC ACID, COMB WITH PSYCHOLEPTICS",""
"5780","N02AJ06","CODEINE AND PARACETAMOL",""
"5780","N02AJ06","CODEINE AND PARACETAMOL",""
"5790","L04AD01","CICLOSPORIN",""
"5792","A06AA01","LIQUID PARAFFIN",""
"5812","R02AA06","CETYLPYRIDINIUM",""
"5818","C07AB02","METOPROLOL",""
"5819","C07AB02","METOPROLOL",""
"5822","J01CA04","AMOXICILLIN",""
"5823","J01CA04","AMOXICILLIN",""
"5824","J01CA04","AMOXICILLIN",""
"5825","J01CA04","AMOXICILLIN",""
"5849","V07AV","TECHNICAL DISINFECTANTS",""
"5858","C03EA01","HYDROCHLOROTHIAZIDE AND POTASSIUM-SPARING AGENTS",""
"5858","C03EA01","HYDROCHLOROTHIAZIDE AND POTASSIUM-SPARING AGENTS",""
"5859","N05AD01","HALOPERIDOL",""
"5860","M01AE02","NAPROXEN",""
"5863","D06AX05","BACITRACIN",""
"5864","A07EC01","SULFASALAZINE",""
"5917","M01AE01","IBUPROFEN",""
"5939","N02AA03","HYDROMORPHONE",""
"5940","N02AA03","HYDROMORPHONE",""
"5963","L01CB01","ETOPOSIDE",""
"5970","C01CA24","EPINEPHRINE",""
"5997","S01FA04","CYCLOPENTOLATE",""
"6054","S01FA06","TROPICAMIDE",""
"6095","N03AA02","PHENOBARBITAL",""
"6095","N03AA02","PHENOBARBITAL",""
"6130","J04AK01","PYRAZINAMIDE",""
"6135","N05BA06","LORAZEPAM",""
"6136","N05BA06","LORAZEPAM",""
"6170","R03DA04","THEOPHYLLINE",""
"6171","N02AA01","MORPHINE",""
"6237","V01AA20","VARIOUS",""
"6258","A06AA02","DOCUSATE SODIUM",""
"6269","V03AH01","DIAZOXIDE",""
"6295","N05BA06","LORAZEPAM",""
"6296","N05BA06","LORAZEPAM",""
"6297","N05BA06","LORAZEPAM",""
"6317","A07BA01","MEDICINAL CHARCOAL",""
"6323","M01AE01","IBUPROFEN",""
"6346","N02AJ06","CODEINE AND PARACETAMOL",""
"6346","N02AJ06","CODEINE AND PARACETAMOL",""
"6366","V07AB","SOLVENTS AND DILUTING AGENTS, INCL IRRIGAT SOLUT",""
"6379","M01AB05","DICLOFENAC",""
"6415","R05DA04","CODEINE",""
